iter	Passed	Remaining
440	1333	1690
441	1336	1687
442	1339	1684
443	1342	1681
444	1345	1678
445	1348	1675
446	1351	1672
447	1354	1668
448	1357	1665
449	1360	1662
450	1363	1659
451	1366	1656
452	1369	1653
453	1372	1650
454	1375	1647
455	1378	1644
456	1381	1641
457	1384	1638
458	1387	1635
459	1390	1632
460	1393	1629
461	1396	1626
462	1399	1623
463	1402	1620
464	1405	1617
465	1408	1614
466	1411	1611
467	1414	1608
468	1417	1605
469	1420	1602
470	1423	1598
471	1426	1595
472	1429	1592
473	1432	1589
474	1435	1586
475	1438	1583
476	1441	1580
477	1444	1577
478	1447	1574
479	1450	1571
480	1453	1568
481	1456	1564
482	1459	1561
483	1461	1558
484	1464	1555
485	1467	1552
486	1470	1549
487	1473	1546
488	1476	1543
489	1479	1540
490	1483	1537
491	1486	1534
492	1489	1531
493	1492	1528
494	1495	1525
495	1497	1522
496	1500	1518
497	1503	1515
498	1506	1512
499	1509	1509
500	1512	1506
501	1515	1503
502	1518	1500
503	1521	1497
504	1524	1494
505	1527	1491
506	1530	1488
507	1533	1485
508	1536	1481
509	1539	1478
510	1542	1475
511	1545	1472
512	1548	1469
513	1550	1466
514	1553	1463
515	1556	1460
516	1559	1457
517	1562	1453
518	1565	1450
519	1568	1447
520	1571	1444
521	1574	1441
522	1577	1438
523	1579	1435
524	1582	1432
525	1585	1428
526	1588	1425
527	1591	1422
528	1594	1419
529	1597	1416
530	1600	1413
531	1603	1410
532	1606	1407
533	1609	1404
534	1612	1401
535	1616	1398
536	1619	1395
537	1622	1392
538	1625	1389
539	1628	1387
540	1632	1384
541	1635	1382
542	1639	1379
543	1642	1376
544	1645	1373
545	1648	1370
546	1651	1367
547	1654	1364
548	1657	1361
549	1660	1358
550	1663	1355
551	1666	1352
552	1670	1350
553	1673	1347
554	1677	1344
555	1680	1341
556	1683	1339
557	1687	1336
558	1690	1334
559	1694	1331
560	1697	1328
561	1700	1325
562	1703	1322
563	1706	1319
564	1710	1316
565	1713	1313
566	1716	1310
567	1719	1307
568	1722	1305
569	1726	1302
570	1729	1299
571	1732	1296
572	1735	1293
573	1739	1290
574	1742	1287
575	1745	1285
576	1749	1282
577	1752	1279
578	1755	1276
579	1758	1273
580	1761	1270
581	1765	1267
582	1768	1264
583	1771	1261
584	1774	1258
585	1777	1255
586	1780	1252
587	1783	1249
588	1787	1246
589	1790	1244
590	1793	1241
591	1796	1238
592	1799	1235
593	1802	1232
594	1805	1229
595	1809	1226
596	1812	1223
597	1815	1220
598	1818	1217
599	1822	1214
600	1825	1211
601	1828	1209
602	1831	1206
603	1835	1203
604	1838	1200
605	1841	1197
606	1844	1194
607	1847	1191
608	1851	1188
609	1854	1185
610	1857	1182
611	1860	1179
612	1863	1176
613	1867	1173
614	1870	1170
615	1873	1168
616	1876	1165
617	1879	1161
618	1883	1159
619	1886	1155
620	1888	1152
621	1891	1149
622	1894	1146
623	1897	1143
624	1900	1140
625	1903	1137
626	1906	1134
627	1909	1131
628	1912	1127
629	1915	1124
630	1918	1121
631	1921	1118
632	1924	1115
633	1927	1112
634	1930	1109
635	1933	1106
636	1936	1103
637	1939	1100
638	1942	1097
639	1945	1094
640	1948	1091
641	1951	1088
642	1953	1084
643	1957	1081
644	1959	1078
645	1962	1075
646	1965	1072
647	1968	1069
648	1971	1066
649	1974	1063
650	1977	1060
651	1980	1057
652	1983	1054
653	1986	1051
654	1990	1048
655	1993	1045
656	1996	1042
657	1999	1039
658	2002	1036
659	2005	1033
660	2008	1029
661	2011	1026
662	2014	1023
663	2017	1020
664	2020	1017
665	2023	1014
666	2026	1011
667	2029	1008
668	2032	1005
669	2035	1002
670	2038	999
671	2040	996
672	2043	993
673	2046	990
674	2049	986
675	2052	983
676	2055	980
677	2058	977
678	2061	974
679	2064	971
680	2067	968
681	2070	965
682	2073	962
683	2076	959
684	2079	956
685	2082	952
686	2084	949
687	2087	946
688	2090	943
689	2093	940
690	2096	937
691	2099	934
692	2102	931
693	2105	928
694	2108	925
695	2111	922
696	2114	919
697	2117	916
698	2120	913
699	2123	909
700	2126	906
701	2129	903
702	2132	900
703	2135	897
704	2138	894
705	2141	891
706	2144	888
707	2147	885
708	2150	882
709	2153	879
710	2155	876
711	2158	873
712	2161	870
713	2164	867
714	2167	864
715	2171	861
716	2174	858
717	2177	855
718	2180	852
719	2184	849
720	2187	846
721	2190	843
722	2194	840
723	2197	837
724	2200	834
725	2203	831
726	2206	828
727	2209	825
728	2212	822
729	2215	819
730	2218	816
731	2221	813
732	2224	810
733	2227	807
734	2230	804
735	2233	801
736	2236	797
737	2238	794
738	2241	791
739	2244	788
740	2247	785
741	2250	782
742	2253	779
743	2256	776
744	2260	773
745	2263	770
746	2266	767
747	2269	764
748	2272	761
749	2275	758
750	2278	755
751	2280	752
752	2283	749
753	2286	746
754	2289	743
755	2292	739
756	2295	736
757	2298	733
758	2301	730
759	2304	727
760	2307	724
761	2310	721
762	2313	718
763	2316	715
764	2319	712
765	2322	709
766	2325	706
767	2328	703
768	2331	700
769	2334	697
770	2337	694
771	2340	691
772	2343	688
773	2346	685
774	2348	681
775	2351	678
776	2354	675
777	2357	672
778	2360	669
779	2363	666
780	2366	663
781	2369	660
782	2372	657
783	2375	654
784	2378	651
785	2381	648
786	2383	645
787	2386	642
788	2389	639
789	2392	635
790	2395	632
791	2398	629
792	2401	626
793	2404	623
794	2407	620
795	2410	617
796	2413	614
797	2416	611
798	2419	608
799	2422	605
800	2425	602
801	2428	599
802	2431	596
803	2434	593
804	2437	590
805	2440	587
806	2443	584
807	2446	581
808	2449	578
809	2452	575
810	2455	572
811	2458	569
812	2461	566
813	2464	563
814	2467	560
815	2469	556
816	2472	553
817	2475	550
818	2478	547
819	2481	544
820	2484	541
821	2487	538
822	2490	535
823	2493	532
824	2496	529
825	2499	526
826	2502	523
827	2504	520
828	2507	517
829	2510	514
830	2513	511
831	2516	508
832	2519	505
833	2522	502
834	2525	499
835	2528	495
836	2531	492
837	2534	489
838	2537	486
839	2540	483
840	2543	480
841	2546	477
842	2548	474
843	2551	471
844	2554	468
845	2557	465
846	2560	462
847	2563	459
848	2566	456
849	2569	453
850	2572	450
851	2575	447
852	2577	444
853	2580	441
854	2583	438
855	2586	435
856	2589	432
857	2592	429
858	2595	426
859	2598	422
860	2601	419
861	2604	416
862	2607	413
863	2610	410
864	2613	407
865	2618	405
866	2621	402
867	2624	399
868	2628	396
869	2631	393
870	2634	390
871	2637	387
872	2640	384
873	2643	381
874	2647	378
875	2650	375
876	2653	372
877	2656	369
878	2659	366
879	2662	363
880	2665	359
881	2668	356
882	2670	353
883	2673	350
884	2676	347
885	2679	344
886	2682	341
887	2685	338
888	2688	335
889	2691	332
890	2694	329
891	2697	326
892	2700	323
893	2703	320
894	2705	317
895	2708	314
896	2711	311
897	2714	308
898	2717	305
899	2720	302
900	2723	299
901	2726	296
902	2729	293
903	2732	290
904	2735	287
905	2738	284
906	2741	281
907	2743	278
908	2746	274
909	2749	271
910	2752	268
911	2755	265
912	2758	262
913	2761	259
914	2764	256
915	2768	253
916	2771	250
917	2774	247
918	2777	244
919	2780	241
920	2783	238
921	2786	235
922	2789	232
923	2792	229
924	2795	226
925	2798	223
926	2801	220
927	2804	217
928	2807	214
929	2810	211
930	2813	208
931	2816	205
932	2819	202
933	2822	199
934	2824	196
935	2828	193
936	2830	190
937	2833	187
938	2836	184
939	2839	181
940	2842	178
941	2845	175
942	2848	172
943	2851	169
944	2854	166
945	2857	163
946	2859	160
947	2862	157
948	2865	154
949	2868	150
950	2871	147
951	2874	144
952	2877	141
953	2880	138
954	2883	135
955	2886	132
956	2889	129
957	2891	126
958	2894	123
959	2897	120
960	2900	117
961	2903	114
962	2906	111
963	2909	108
964	2912	105
965	2915	102
966	2918	99
967	2921	96
968	2924	93
969	2926	90
970	2929	87
971	2932	84
972	2935	81
973	2938	78
974	2941	75
975	2944	72
976	2947	69
977	2950	66
978	2953	63
979	2956	60
980	2959	57
981	2962	54
982	2965	51
983	2968	48
984	2971	45
985	2974	42
986	2977	39
987	2979	36
988	2982	33
989	2985	30
990	2989	27
991	2992	24
992	2995	21
993	2998	18
994	3000	15
995	3004	12
996	3007	9
997	3010	6
998	3013	3
999	3016	0
