iter	Logloss
0	0.6833927729
1	0.6734563749
2	0.6634117022
3	0.6560407142
4	0.646002469
5	0.6381481641
6	0.6287590967
7	0.6193151605
8	0.611331992
9	0.603545202
10	0.595426272
11	0.5878558224
12	0.5793453373
13	0.5734828792
14	0.56624018
15	0.5587525041
16	0.5521050022
17	0.5472537524
18	0.5409398014
19	0.5335783762
20	0.5266460262
21	0.5199877595
22	0.5123627023
23	0.5059000303
24	0.4988501562
25	0.4924269376
26	0.485355534
27	0.4795469519
28	0.4737233201
29	0.4673506332
30	0.4610974037
31	0.456843546
32	0.4521054307
33	0.447440683
34	0.4418589971
35	0.4360476977
36	0.4299055387
37	0.4253765002
38	0.4206075276
39	0.4160762421
40	0.4117696318
41	0.4070078184
42	0.4024747039
43	0.3984174336
44	0.3941895472
45	0.3895716732
46	0.3859164617
47	0.3813529864
48	0.3773450982
49	0.3738811702
50	0.3698394201
51	0.3656251724
52	0.3622467877
53	0.358234902
54	0.3550347629
55	0.3509446236
56	0.348117959
57	0.3435706047
58	0.3405771647
59	0.3371179137
60	0.3329673663
61	0.3292922451
62	0.3253298982
63	0.3218889367
64	0.3183139906
65	0.3154807417
66	0.3114573335
67	0.3084508034
68	0.3055664481
69	0.3026508697
70	0.2993745151
71	0.2968370621
72	0.2929364035
73	0.2894622594
74	0.2871846238
75	0.2836505942
76	0.2814234642
77	0.2783915376
78	0.2757475082
79	0.2724444246
80	0.269342527
81	0.2664720979
82	0.2636700199
83	0.2616872918
84	0.2590500819
85	0.2563870051
86	0.2540328666
87	0.2518236082
88	0.2495603169
89	0.2467674099
90	0.2440308349
91	0.2418112036
92	0.2393612012
93	0.2376450317
94	0.2352088249
95	0.2330773497
96	0.2308754594
97	0.2289264104
98	0.2268512151
99	0.2250982833
100	0.2229590743
101	0.2214972091
102	0.2194078263
103	0.2172626469
104	0.2152826231
105	0.2132081724
106	0.211222309
107	0.2094823106
108	0.2075579918
109	0.2058148057
110	0.2041167168
111	0.2018867388
112	0.2003926578
113	0.1980231037
114	0.1960582341
115	0.1942206735
116	0.1924066805
117	0.190662985
118	0.1889825847
119	0.1876897159
120	0.1859869761
121	0.1843685777
122	0.1825180838
123	0.1809817275
124	0.179293737
125	0.1777365828
126	0.1763358181
127	0.1749099052
128	0.1739705491
129	0.1727974121
130	0.171375758
131	0.1699779589
132	0.1687991782
133	0.1677499536
134	0.1664402583
135	0.1647812308
136	0.1635041955
137	0.1623019388
138	0.1611975578
139	0.1599823939
140	0.1586166147
141	0.1574565156
142	0.1562432328
143	0.1551446784
144	0.1539053852
145	0.152899912
146	0.1517402571
147	0.1507924877
148	0.1499014946
149	0.1489879922
150	0.1480504911
151	0.147393906
152	0.1461349905
153	0.1450752363
154	0.144027919
155	0.1429869116
156	0.1420012957
157	0.1409029503
158	0.1398448422
159	0.1387007204
160	0.1378350454
161	0.1369559667
162	0.1361393863
163	0.1350425563
164	0.1342333702
165	0.1332669715
166	0.1324564006
167	0.1315643624
168	0.130628821
169	0.1295312071
170	0.1286216893
171	0.1278866807
172	0.1269326145
173	0.1264010521
174	0.1255499304
175	0.1249338307
176	0.1240068854
177	0.1231305109
178	0.1223128332
179	0.1213717787
180	0.1207429024
181	0.1199281771
182	0.1190272815
183	0.1183946688
184	0.1176671329
185	0.1167759569
186	0.116058023
187	0.1154010067
188	0.1146038656
189	0.1140058988
190	0.1135190807
191	0.1129058289
192	0.112221339
193	0.1114330161
194	0.1110083044
195	0.1103594793
196	0.109558726
197	0.1090755463
198	0.1085107098
199	0.1079573174
200	0.1071975199
201	0.1067275282
202	0.106032672
203	0.1053851141
204	0.1048273714
205	0.1040924739
206	0.1034579538
207	0.1029444851
208	0.1022207247
209	0.1015888632
210	0.1009561199
211	0.1004102524
212	0.09993237665
213	0.09946423361
214	0.09881658423
215	0.09841105709
216	0.09799998427
217	0.09742209683
218	0.09680636942
219	0.09645033536
220	0.09594581552
221	0.09539493796
222	0.09493482929
223	0.09445126416
224	0.09394829894
225	0.09349078348
226	0.09303848711
227	0.09273457201
228	0.09206054635
229	0.09164895097
230	0.09107303619
231	0.09045885034
232	0.09002788753
233	0.08948203309
234	0.08891813722
235	0.0885525403
236	0.08810772961
237	0.08752311419
238	0.08703806629
239	0.08650634713
240	0.08605837495
241	0.08568723234
242	0.08533083903
243	0.08489823015
244	0.08452122179
245	0.08407511776
246	0.083750359
247	0.08339352804
248	0.08302450833
249	0.08251131397
250	0.08215218374
251	0.08175572304
252	0.08129426878
253	0.08083611319
254	0.08046658398
255	0.08008736127
256	0.07962139339
257	0.07920532357
258	0.07874712226
259	0.07839217251
260	0.07797659913
261	0.07753058656
262	0.07721539066
263	0.07684857225
264	0.07636992572
265	0.07603167834
266	0.07557896392
267	0.07522462819
268	0.0749176757
269	0.07450688375
270	0.07425423191
271	0.07389503636
272	0.07356055795
273	0.07326254126
274	0.07287175035
275	0.07257447177
276	0.07228523411
277	0.07190557375
278	0.07160431065
279	0.0711915787
280	0.07095744512
281	0.07067266229
282	0.0703769318
283	0.06993393702
284	0.06946740085
285	0.06921493191
286	0.06894835381
